,annoy,be,bother,break,cut,damage,enter,eye,hack,incinerate,join,leave,let,lift,like,love,move,occupy,own,pick,place,relocate,rock,sit,slap,throw,touch,try,worry
bottle,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,1
chair,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,2,1,1,0,0,1,1,0,1,0,1,1
person,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
